,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Norman Wells,65.282,-126.8329,265.15,41,75,1.54
1,New Norfolk,-42.7826,147.0587,289.04,49,4,1.79
2,Rikitea,-23.1203,-134.9692,298.76,72,100,3.26
3,Nouakchott,18.0858,-15.9785,294.15,83,52,5.14
4,Upernavik,72.7868,-56.1549,274.09,77,100,2.16
5,Nānākuli,21.3906,-158.1547,299.19,57,40,4.63
6,Hobart,-42.8794,147.3294,288.82,58,20,3.6
7,Albany,42.6001,-73.9662,280.69,50,4,0.89
8,Barrow,71.2906,-156.7887,267.15,79,1,9.77
9,Sorong,-0.8833,131.25,301.49,73,89,1.16
10,Daru,-9.0763,143.2092,302.14,73,64,1.06
11,Bethel,41.3712,-73.414,284.4,21,1,2.57
12,Buchanan,5.8808,-10.0467,298.15,100,20,1.74
13,Esperance,-33.8667,121.9,295.15,30,100,7.72
14,Cape Town,-33.9258,18.4232,290.04,88,90,6.17
15,Nhulunbuy,-12.2333,136.7667,299.15,100,75,1.54
16,Tiksi,71.6872,128.8694,264.52,87,100,4.95
17,Kapaa,22.0752,-159.319,297.66,65,40,3.6
18,Mataura,-46.1927,168.8643,282.04,70,67,4.92
19,Avarua,-21.2078,-159.775,301.15,74,75,3.09
20,Burns Lake,54.2331,-125.7533,289.15,17,0,5.14
21,Busselton,-33.65,115.3333,294.61,67,27,1.46
22,Narsaq,60.9167,-46.05,276.15,87,75,0.51
23,Jamestown,42.097,-79.2353,281.15,46,1,4.63
24,Hambantota,6.1241,81.1185,299.15,100,20,1.54
25,Beringovskiy,63.05,179.3167,273.87,94,100,1.61
26,Ushuaia,-54.8,-68.3,279.15,87,75,3.6
27,Airai,-8.9266,125.4092,294.19,43,11,0.92
28,Nueva Fuerza,9.8464,124.167,300.15,83,90,1.03
29,Yellowknife,62.456,-114.3525,260.79,48,20,7.2
30,Motala,58.5371,15.0365,271.14,74,90,0.51
31,Saint-Augustin,51.226,-58.6502,276.06,83,100,14.92
32,San Quintín,30.4833,-115.95,286.93,76,100,5.4
33,Plainview,40.7765,-73.4673,285.43,22,1,6.17
34,Punta Arenas,-53.15,-70.9167,279.98,93,75,1.03
35,Qaanaaq,77.484,-69.3632,276.14,70,100,3.21
36,Portland,45.5234,-122.6762,286.89,62,75,2.44
37,Dikson,73.5069,80.5464,273.04,98,100,7.87
38,Saint-Prosper,46.2117,-70.4811,274.15,75,45,2.57
39,Poção de Pedras,-4.6667,-44.85,296.61,94,97,1.12
40,Mosquera,4.7059,-74.2302,288.15,82,75,2.06
41,Lorengau,-2.0226,147.2712,302.95,66,32,1.19
42,Port Hardy,50.6996,-127.4199,284.76,71,75,4.63
43,Taltal,-25.4,-70.4833,290.27,80,0,2.09
44,Hirara,24.8,125.2833,297.56,60,20,6.69
45,Bahçe,37.1972,36.5766,289.15,63,0,5.66
46,Sancti Spíritus,21.9297,-79.4425,297.65,73,0,3.94
47,Mehamn,71.0357,27.8492,272.28,65,99,4.16
48,Miranda do Corvo,40.0932,-8.3326,286.37,100,40,1.03
49,Port Alfred,-33.5906,26.891,292.2,84,88,4.69
50,Bathsheba,13.2167,-59.5167,299.15,65,40,6.17
51,Carnarvon,-24.8667,113.6333,294.15,52,0,3.66
52,Geraldton,-28.7667,114.6,294.15,43,20,2.57
53,Puerto Escondido,15.85,-97.0667,303.15,70,40,1.03
54,Chokurdakh,70.6333,147.9167,269.76,84,98,1.29
55,Rafaela,-31.2503,-61.4867,288.04,52,0,1.82
56,Pacific Grove,36.6177,-121.9166,285.78,76,74,7.29
57,Poum,-20.2333,164.0167,298.14,68,27,9.27
58,Fort Nelson,58.8053,-122.7002,269.15,74,90,3.6
59,Hutchinson,38.0608,-97.9298,297.76,44,1,13.89
60,Port Lincoln,-34.7333,135.8667,292.37,60,1,3.15
61,Atuona,-9.8,-139.0333,299.77,74,99,6.62
62,Hasaki,35.7333,140.8333,288.18,51,75,2.57
63,Hilo,19.7297,-155.09,295.97,65,90,3.6
64,Saskylakh,71.9167,114.0833,260.57,91,34,2.03
65,Souillac,-20.5167,57.5167,297.15,94,75,3.6
66,George Town,5.4112,100.3354,297.86,94,40,2.06
67,Saint Paul Harbor,57.79,-152.4072,279.15,87,90,6.69
68,Butaritari,3.0707,172.7902,301.31,76,82,4.78
69,Castro,-24.7911,-50.0119,287.21,89,1,1.38
70,San Julián,21.0167,-102.1667,298.48,26,100,3.64
71,‘Āhuimanu,21.4447,-157.8378,298.94,61,75,2.57
72,Namatanai,-3.6667,152.4333,303.1,66,18,1.16
73,Newport,51.5877,-2.9984,277.52,83,89,0.51
74,Coquimbo,-29.9533,-71.3436,287.15,82,0,1.54
75,Puerto Ayora,-0.7393,-90.3518,297.19,89,36,2.78
76,Laas,46.6166,10.7002,283.13,71,100,0.88
77,Hermanus,-34.4187,19.2345,289.82,85,96,0.89
